Script Name,Character Names
Barry Lyndon.txt,"VALDEZ, UNCLE, PRIVATE, CHAMBERMAID, DUKE OF RUTLAND, ORDERLY, CHEVALIER, DASCHER, MICHAEL, NARRATOR, LAKENHAM, MR. TAPEWELL, CAPTAIN GROGAN, MINISTER GALGENSTEIN (O.S.), AUNT, MR. TOOLE, HARRY, COUNT, ARMED GENTLEMAN, CAPTAIN BEST, PATRICK, HORSE-BOY, CHEVALIER (V.O.), LANGEAC, BOSWELL, COUNTESS, VALET, MRS. O'REILLY, COUNCILLOR MULLIGAN, GOLDSMITH, PRUSSIAN OFFICER, TAPEWELL, BROOKSIDE, SIR WILLIAM, VOICE, BARRY LYNDON, FOOTMAN, COLONEL BULOW, BROKER, LINK-BOY, LANDLORD, GEORGE III, PRUSSIAN SERGEANT, MAID, LISCHEN, ANOTHER OFFICER, MOTHER, NEWCOMBE, CAPTAIN O'REILLY, DOROTHY, JOHNSON, RODERICK, STRANGER, HUNT, MINISTER GALGENSTEIN, PRINCE, CAPTAIN, RODERICK (V.O.), CAPTAIN GALGENSTEIN, HENRI, EARL OF CRABS, LORD WEST"
Barton Fink.txt,"PETE, BARTON FINK, GARLAND, SECRETARY, MASTRIONOTTI, EXECUTIVE, DEUTSCH, GEISLER, USO GIRL, AUDREY, THE WOMAN, LOU, ELEVATOR MAN, ACTOR, POLICEMAN #1, DEREK, OLDER MAN, BARTON, MAURY, REFEREE, OPERATOR, BEN GEISLER, MAN, FINK, ACTRESS, RICHARD, MAYHEW, WOMAN, POPPY, BATHING BEAUTY, POLICEMAN #2, SAILOR, CLERK, LIPNIK, LILY, POLICEMAN, CHARLIE, CHET, WRESTLER, BEAUTY, GIRL"
Basic Instinct.txt,"ANDREWS, DR. MCELWAINE, GUS, THE CORONER'S GUY, LT. WALKER, THE I.A. MAN, DR. LAMOTT, THE FORENSICS MAN, RECEPTIONIST, THE MAID, NICK, DETECTIVE, ELIZABETH GARDNER, BETH, NILSEN, CAPTAIN TALCOTT, DR. MYRON, CORRIGAN, JOE ESZTERHAS, TALCOTT, ROXY, HAZEL, CATHERINE, CAMPUS COP, CAPT. TALCOTT, INTERNAL AFFAIRS MAN, HAZEL DOBKINS, HARRIGAN"
Basic.txt,"PIKE, OSBORNE, DOCTOR, PILOT, NUNEZ, WEST, NUNEZ, STYLES, JAG LAWYER, PIKE, WEST, KENDALL, HARDY, DUNBAR, NEWSCASTER, DUNBAR, HARDY, STYLES, DUNBAR, DONUT., KENDALL, OSB0RNE, HARDY, MUE:LLER, STYLES, BARTENDER, MUELLER, SERGEANT, STYLES, OSBORNE, WEST, KENOALL, M. P., HARDY, HARDY, PIKE, MUELLER, HARDY, NURSE, CHILDS, OSBORNE, DUN BAR"
Basquiat.txt,"NORA, FATHER, MATILDE, GUARD, BASQUIAT, ESTHER MILO, CHRIS, KID#3, LESHKO, VOICE, ANDY    WARHOL, BIG PINK, SAMO., MAN, GINA, BENNY, CYNTHIA KRUGER, WOMAN #2, WAITRESS, GINA, ANNINA NOSEI, MARY BOONE, KID, MARIA, BENNY, BASQUIAT, MAITRE'D, ANDY WARHOL, ELLEN, SHENGE, KID #2, RENE, BUM, RENE, GREG, FRANK, PHOTOGRAPHER, KID #3, BLONDE, LANDLADY, CLERK, STELLA, COUNTERMAN, MAN #2, BRUNETTE, BENNY, CHRISTINE, MARIA, WOMAN, HENRY, GEORGE, JACK MILO, CUSTOMER, ARTIST #1, ANDY WARHOL, CYNTHIA KRUGER, BRUNO, GUY #1, TOM KRUGER, LANDLADY, MR. CHOW, KID #1, RENE, RAMMELLZEE, INTERVIEWER"
Batman 2.txt,"LITTLE BOY, CITY OFFCIAL II, REPORTER II, BARRETT, COP WITH MIKE, BRUCE:, REPORTER I, COP, FRICK, VOICE, MR. BONIFACE, BOMB-DISPOSAL EXPERT, TIPTREE (O.S.), DICK, VICKI!, HOMELESS MAN, PENGUIN, PAROLE OFFICER II, PROVOST, GUARD II, RED BERET I, MYNAH (O.S.), BULLOCK, SCHULTZ, WARDEN, DICK:, CATWOMAN, POLICEMAN, SHAW, ALFRED, SEKOWSKY, VICKI, WAYNE., DOCK GOON I, COP I, RICKY, BATMAN, BRUCE., CATWOMAN (O.S.), WOMAN (O.S.), COP II, SHAW, TRAFFIC COP, KID, CHIEF GOON (O.S.), TIPTREE, JOGGER, DOCK GOON II, INTERCUT, ANCHORWOMAN, BRUCE, ATTORNEY, PATROLMAN, RED BERET II, NEWS VENDOR, T-BONE, GORDON, TIPTREE (V.O.), CITY OFFICIAL I, STAKEOUT COP I, PUNK, DRIVER, LITTLE GIRL, GUARD, LEAD GUARD, PROVOST (O.S.), BOAT THUG I, MR. BONIFACE, HARDHAT, PLAINCLOTHESMAN, SELINA (O.S.), CITY OFFICIAL II, LIEUTENANT, MRS. TIPTREE, WOMAN, MYNAH, SELINA"
Batman.txt,"JOKER (O.S.), NEWS ANCHOR, REPORTER, DELIVERY BOY, MEDIC, REPORTER I, GANG BOSS, BRUCE WAYNE, COP, GOON III, FINANCIER, ANCHORWOMAN, VICKI (V.O.), EMCEE, DIRECTOR, DAVE, PILOT, HOOD I, KID, JACK, VICKI, JACK (V.O.), ECKHARDT, TECHNICIAN, GRISSOM, SAFECRACKER, VICKI), GOON, DERELICT, JACK NAPIER, BRUCE (V.O.), LIEUTENANT, GOON AT WHEEL, WAILING COLLEAGUE, BRUCE, JOKER, NICK, DISPATCHER, TONY, PATROLMAN, GOON II, COPY BOY, EDDIE, GORDON, MAITRE D', THUG I, DOCTOR, STREET PUNK, GOON I, HOOD II, DICK, MOM, MAYOR, CLAIRE, ALFRED, DOORMAN, DENT, ECKHARDT!!, PATSY!!, ALLIE!!, POLITICO, DRIVER, MIRANDA, WAITER, GOVERNOR GILROY, PATSY, ROTELLI, CRIMELORD, ANCHORMAN, BRUCE!!, REPORTER II, KNOX, ADVISER, BATMAN, GOON IV, JOKER (V.O.), CO-PILOT, COLLEAGUE, GRISSOM (O.S.), ALICIA, PATROLMAN., JIMMY, DICK!, ALFRED (V.O.)"
Battle of Algiers_ The.txt,"ALI, SERVANT, MADAM, OMAR, FATHIA, BOY, CASHIER, ALGERIAN, 1ST PARA, 1ST JOURNALIST, FRIEND, EMPLOYEE, SECOND SOLDIER, 2ND PARA, SOLDIER, YOUTH, MOURAD, 5TH JOURNALIST, GENERAL, ASSISTANT COMMISSIONER, CONDEMNED MAN, OPIUM-ADDICT, BEN M'HIDI, ZOHRA, PARA, OFFICER, HACENE, RAMEL, WAITER, WOMEN, PETIT OMAR, MAN, HASSIBA, NEWSBOY, MARC, COMMISSIONER, KADER, LAGLOY, SERGEANT, VOICE OF, WOMAN, CAPTAIN, MAHMOUD, ARNAUD, 4TH JOURNALIST, PRISONER AT WINDOW, SADEK, MATHIEU, 2ND COLONEL, DJAMILA, POLICEMAN, A JOURNALIST, BERNADETTE, FIRST JOURNALIST, ALGERIAN VOICE, 2ND JOURNALIST, CHILD"
Battle of Shaker Heights_ The.txt,"MAO, STUDENT 2, MATHILDA, BRIDGET, HOLMSTEAD, MAKEUP ARTIST, DIRECTOR, MINER, BART, INFANTRYMAN, OLD SOLDIER 2, SARAH, SECRETARY, LANCE, A RABBIT, GERMAN OFFICER, TABBY, SKINNY, CHARLIE, EVE, KELLY, ABE, WOMAN, MINNIE, HARRISON, XIOU-XIOU, NEIGHBOR, LANCE'S MOM, AUDIENCE KID, A.D., ADDICT, GIRL, BART/MATHILDA, SKINNY GUY, MR. NORMAN, CROWD, OLD SOLDIER 1, PRINCIPAL, GI, STUDENT 1"
Battle_ Los Angeles.txt,
Beach_ The.txt,"CHRISTO, KARL, MIRJANA, FRANCOISE., ETINENNE, SAMMY, STEN, DETECTIVE, SUMET, BUGS, ZEPH, RICHARD(O.S.), WEATHERGIRL, SAL, ETIENNE, GREGORIO, RICHARD, HOTEL RECEPTIONIST, TRAVEL AGENT, GUITARMAN, KEATY, THAI WOMAN, FARMER, DAFFY, FARNCOISE, SONJA, FRANCOISE"
Bean.txt,"CAB DRIVER, DOCTOR, GEORGE, DOCTOR JACOBSON, OLD LADY, ROBBER, GRIERSON, SIDE~KICK, HUBERT, PROGRAMMER, ELMER, SIR RUPERT, DAVID., NURSE, BRUTUS, ASSISTANT, DOCTOR 1, KEVIN, DAVID, THOMAS GRIERSON, BEAN, NURSE 2, CHECK-IN LADY, STINGO, BERNIE, CLEANER, WALTON., REYNOLDS, HOSPITAL PORTER, MR. BEAN, ALISON, DOCTOR 2, THIN WOMAN, ELEVATOR VOICE, JENNIFER, MISS HUTCHINSON, GALLERY GUIDE, GARETH, OLD LADY 1, COP 1, SIDE-KICK, GUARD, LORD WALTON, OLD LADY 2, SUIT MAN, VINCENT, ANNIE, CHARLES"
Beasts of No Nation.txt,"PASTOR, LINGUIST, CHIEF SECURITY OFFICER (CSO), AGU (V.O.), DRIVER, 2ND LIEUTENANT, MOTHER, DIKE, AIDE, FATHER FRIDAY, VILLAGER CONSTABLE, PREACHER (CONT'D), AGU, CHICKEN LEGS, FATHER (CONT'D), PARAMOUNT CHIEF, CHIEF PRIEST, GOODBLOOD (CONT'D), NDF COOK, BUAH!, PASTOR (O.S.), COMMANDANT (O.S.) (CONT'D), TWO-I-C (O.S.), BBC CORRESPONDENT (O.S.), TRIPOD, TWO-I-C (CONT'D), AMY (CONT'D), SERGEANT (CONT'D), C/O RAMBO, BBC CORRESPONDENT (O.S.) (CONT'D), ARMY CORPORAL (CONT'D), BIG BROTHER, DEPUTY (CONT'D), COMMANDANT, COMMANDANT (CONT'D), MADAME (CONT'D), CHARCOAL NDF SOLDIER (CONT'D), SERGEANT, GOODBLOOD, OLD WOMAN, PREACHER, FATHER FRIDAY (V.O.), VILLAGE CONSTABLE, GRIOT, PARAMOUNT CHIEF (CONT'D), DEPUTY, COMMANDANT (O.S.), MADAME, TWO-I-C, HOPE (V.O.), FATHER, MOTHER (CONT'D), VOICE, AMY, AGU   (V.O.), HOPE, RAMBO, CSO, GIRL, ARMY CORPORAL, PREACHER (O.S.)"
Beasts of the Southern Wild.txt,"HUSHPUPPY, PILOT, ORDERLY, BOY, WINK, DR. MALONEY, BABYSITTER, SERGEANT MAJOR, EVACUATOR 2, PETER T, JEAN BATTISTE, COOK, MISS BATHSHEBA, WALRUS, MISS FRANKIE, LITTLE JO, ANNOUNCER"
Beauty and the Beast.txt,"JEAN, VILLAGE MEN, LEFOU (O.S.), CLOTHILDE, TOM, COGSWORTH, MAJORDOMO, TOM, DICK & STANLEY, THE PRINCE, CADENZA, YOUNG PRINCE, FOOTMAN, TAVERN KEEPER, FARMER, CHEESE SELLERS, LUMI�RE (O.S.), VILLAGERS, BELLE, THE BEAST!, CHEESEMAKER #1, COGSWORTH, LUMI�RE, MRS. POTTS, CADENZA (CONT'D), CHIP, WASHER WOMEN, LUMI�RE AND COGSWORTH, WASHER GIRL, BELLE'S MOTHER, BOY'S MOTHER, JAM SELLER, COBBLER (CONT'D), AGATHE, VILLAGE LASSES' MOTHER, TOM/DICK/STANLEY, MAURICE (CONT'D), THE BEAST (CONT'D), ALL, ALL (V.O.), CUISINI�R, CASTLE STAFF, JAM SELLER, COBBLER, PERE ROBERT, LEFOU (CONT'D), SCHOOL BOYS, LITTLE GIRLS, LUMI�RE!, PLUMETTE (CONT'D), BELLE (O.S.), DIVA, MRS. POTTS (O.S.), WASHER WOMEN #1, 2, 3, GASTON, BEAST, CLOTHILDE (O.S.), GARDEROBE (CONT'D), GASTON (O.S.), APOTHECARY, NASTY HEADMASTER, LEFOU/VILLAGERS, VAGRANT, GARDEROBE, MRS. POTTS (CONT'D), VILLAGE LASS #1, MAURICE, BELLE, BARMAID, BREAD BUYER, GASTON, CHEESEMAKER #2, WOOD CARRIER, NARRATOR (V.O.), MRS. POTTS, THE BEAST (CONT'D), GASTON (CONT'D), LUMI�RE, CLOTHILDE (CONT'D), LUMI�RE (CONT'D), MAID, BELLE, DAZZLING, IN HER EVENING GOWN., BELLE (CONT'D), GARDEROBE, PRETTY FISHMONGER'S WIFE, MRS. POTTS (CONT'D), MAESTRO., DOCTOR, DICK, MAURICE (O.S.), JEAN (CONT'D), BEAST (CONT'D), YOUNG PRINCE (CONT'D), THE BEAST (O.S.), VILLAGE LASSES, COGSWORTH (CONT'D), MONSIEUR D'ARQUE, LUMI�RE & PLUMETTE, PLUMETTE, MAESTRO, PRINCE, GASTON, LEFOU"
Beavis and Butt-head Do America.txt,"MARTHA (CONT.), DUMB GUY, TOM, FLEMMING (CONT.), AGENT, BUS DRIVER, TAMMY, B&B/DUMB GUY/DUMBER GUY (O.S.), SECRETARY, BORK (CONT.), CHERYL, HOST (CONT.), BEAVIS (CONT.), HOOVER GUIDE, BORK, BEAVIS/SPERM (CONT.), ROSS, MARCY, COP, BUTT-HEAD (O.C.), SECRET SERVICE GUY, GENERAL, HOST, TAMMY (CONT.), DRIVER, ANDERSON, BEAVIS & BUTT-HEAD, PRESIDENT, BEAVIS/CORNHOLIO, REPORTERS, GUARD, JIM, TAMMY (O.C.), B&B, DEALER (CONT.), DIGNITARY #2, TOURIST MAN, REPRESENTATIVE, DOLORIS, PASSENGER, DEALER, WOMAN ATTENDANT, MUDDY (CONT.), BEAVIS (O.C.), VAN DRIESSEN, BORK (O.S./CONT.), MARTHA (O.S.), MAN, BEAVIS, FLEMMING, HOST (V.O.), RANGER, BEAVIS (O.S.), BEAVIS (O.S./CONT.), ATTENDANTS, PRESS SECRETARY, PACKWOOD, HARLAN, CONCIERGE, SANDY, BELLBOY, LIEUTENANT, DUMBER GUY, BUTT-HEAD, MARTHA, ELEVATOR VOICE, REPORTER (CONT.), DIGNITARY #1, WOMAN, HURLEY, BUTT-HEAD (CONT.), BEAVIS/CORNHOLIO (O.S.), CAPTAIN, T.P., BEAVIS/SPERM, MAN #2, MUDDY, BEAVIS/CORNHOLIO (CONT.), HARLAN (CONT.), CHERYL (CONT.), OLD GUY, SENATORS, REPORTER 2, REPORTER, BUTT-HEAD (V.O.), BUTT-HEAD (O.S.), BEAVIS (V.O.), DALLAS, SENATOR, ANNOUNCER, ATTENDANT'S VOICE, TOM (CONT.), BABBLING., VOICE/MUDDY, DALLAS (CONT.), OLD RANGER, CAPTAIN'S VOICE (V.O.)"
Beekeeper_ The.txt,"CLAY, VAN MORRISON, WILEY, CROENENBERG, VERONA, EDELWEISS, PETTIS, VOICE, DATA GROUP REP, MAN, POLICE OFFICER, GARRETT, WILEY, ANISETTE LANDRESS, TELE-SCAMMER, POLICE DETECTIVE, DRIVER, WYLIE, WESTWYLD, WESTWYLD (O.S.), EDELWEISS, VERONA, UNITED STATES., BLACK WOMAN, DEPUTY DIRECTOR PRIGG, BARRETT, GARNETT, CROENENBERG, BLACK WOMAN, WYLIE, ELOISE, EVERMORE, WESTWYLD, PRESIDENT DANSWORTH, POLICE DETECTIVE, HALPERN, VERONA'S VOICE, DEPUTY DIRECTOR PRIGG, VEREONA, FEDERAL AGENT, EVERMORE, PRESIDENT DANSWORTH, SERVER BEHIND TABLE, WESTWYLD, VERONA'S VOICE, AGENT PIKE, GARNETT (THE VOICE), OFF-DUTY COP 1, WOMAN'S VOICE, SEC-OP 2, ELDER MAN, MAN 1, MAN WITH TIE, POLICE PARAMEDIC, DEREK EVERMORE, GARRETT, SEC-OP1 (PETTY), ELOISE, SEC-OP1, PETTY, HALPERN, ELDERLY MAN, ELDER MAN, VERONA LINCOLN, ANISETTE LANDRESS, FEDERAL AGENT 1, MAN 2, KELLY KRANE, BARRETT, PETTIS, VERONA LINCOLN"
Beginners.txt,"ANDY, OLIVER V.O., OLIVER (V.O.), OLVIER (V.O.), SECURITY GUARD, ELLIOTT AND SHAUNA, OLIVER, GEORGIA AT 50, DOCTOR LONG (CONT'D), OLD MAN, ELLIOTT, NURSE, GUYS, LIZ, `HAL, SHAUNA, ANNA V.O., DR. FLASTER, GEORGIA (CONT'D), OLIVER V.O. (CONT'D), FANCY WOMAN, MANAGER, LONG-HAIRED MAN, HAL (CONT'D), DOCTOR LONG, DR. LONG, GEORGIA, HAL, OLDER WOMAN, DOCTOR LONG (O.S.), JUAN, PARTIER, ANNA (CONT'D), OLIVER (CONT'D), HAL (V.O.), YOUNG OLIVER, ANNA, ANNE, ELLIOTT (V.O.), RECORD COMPANY LADY, DOCTOR LONG (O.S.) (CONT'D), FEMALE PARTIER, PARTY GUEST, RECORD COMPANY REP, OLIVER (V.O.) (CONT'D)"
Being Human.txt,"THOMAS, LEADER, THOMAS, OFFICER, FATHER DIOGO, THALIA, BOBBY, TV WOMAN (V.O.), TONY (V.O.), HERMAS, URSULA, MOTHER (OLD WOMAN), OFFICER, OFFICER, BOY, FIGURE, DALMIA, REPORTER #2, BEATRICE, THOMAS, SANTIAGO, MAN #1, MAN, REPORTER #1, SLAVE, SLAVE, BETSY, RAIDER, STALLHOLDER, FRANCISCO, CAPTAIN, POLICEMAN, HECTOR, DONALD, GIRL, BETSY, DIAS, HECTOR, DETECTIVE, CREWMAN, YOUNG DESERTER, PEDLAR, JULIAN, ANNA, SLAVE #1, PRIEST (CONT'D), PRIEST (CONT'D), HECTOR, HECTOR, HECTOR, TV MAN (V.O.), NUN, GALLUS, RONALD, PRIEST, NUNO, LUCINNIUS, ANDRE, SAILOR, SLAVE #2, DA CUNHA, BETSY, WATCHMAN, DOM PAULO, TOM, BORIS, CAMERAMAN, ALVAREZ, DOM PAULO, SOLDIER, DRIVER, THOMAS (TOM), SOLUS, FARM WOMAN, MR. SANTIAGO, SALGADO, DESERTER, FRANCISCO, MOTHER, SON, BETSY, MR. PHILIPPOPOLIS, JANET, WOMAN, DEIRDRE, MRS. PHILIPPOPOLIS, SOLDIER #2, VISITOR"
Being John Malkovich.txt,"FAT MAN, MALKOVICH, TINY WOMAN, THEATERGOER #3, CRAIG, LOTTE, MANTINI, DIRECTOR, AGENT, LESTER, MOTORIST, AUDIENCE MEMBER, CABBIE, KEVIN BACON, THEATERGOER #5, THEATERGOER #2, FLORIS, MAXINE, WHITE, GUY, MAXINE, LOTTE, SAFARI MAN, DON, LESTER, CHIMP TWO, THEATERGOER #4, SINGING MALKOVICH, CHARLES NELSON REILLY, MAN #2, LESTER, NEIGHBOR, PARROT, ELIJAH, MAN #3, USHER, FAT MAN, ERROLL, WAITER MALKOVICH, NEIGHBOR, MAXINE, MAN #4, MERTIN, TV ANNOUNCER, WOMAN #1, CRAIG, THEATERGOER #1, MAXINE, NARRATOR, PETER, PARROT, FLORIS, ACTUAL TRUMAN, CROWD, FLORIS, LOTTE, PETER, HARRY S. TRUMAN PUPPET, ANNOUNCER, FLEMMER, GIRL MALKOVICH, GLORIA, MALKOVICH, WENDY, HARRY S. TRUMAN PUPPET, LESTER"
Being There.txt,"JOHANNA, RAND, FIRST LADY, LOLO, ALLENBY, BENNET, MONROE, FRANKLIN, EVE, PRESIDENT, KINNEY, LEWIS, CHANCE, MURRAY, LOUISE, EVE, AIDES, HAYES, MRS. AUBREY, TERESA, STIEGLER, DUPONT, FRANKLIN, RIFF, TOWNSEND, PRESIDENT, REPORTER #3, ABBAZ, REPORTER #2, WILSON, WOLTZ, KAUFMAN, DENNIS, REPORTER #1, KARPATOV, NOVOGROD, DUPONT, NELSON, DAVID, SMYTHE, COURTNEY, MAGGIE, TV REPORTER, DUDLEY, LOUISE, HULL, BALDWIN, BYSTANDER, COLSON, SALLY, JENNIFER, SOPHIE, WATSON, CALDWELL, SKRAPINOV, BILLINGS, PERKINS, STUART, SKRAPINOV, JEFFREY, CONSTANCE, POLICEMAN, SOPHIE, KAUFMAN, HONEYCUTT"
Being the Ricardos.txt,"BOB, HOWARD, LEVY, KATY, SAM, SECRETARY, HOWARD, VIVIAN, ROGER, DESI, HART, VIVIAN/LUCY, MACY, BLACK, PATTY, LUCY, MAN, FRAWLEY, MUSICIAN, ANGIE, JOE, DESI, MISS ROSEN, LEVY, MARY PAT, MAN, OLDER MADELYN, SECURITY GUARD (BOBBY), ASSISTANT DIRECTOR, JESS, JESS, WALTER WINCHELL (FROM RADIO), ANNOUNCER, DONALD, KOERNER, ETHEL, MADELYN, IRWIN, OLDER JESS, MADELYN, WALTER WINCHELL (FROM THE RADIO), DESI, RICKY, SINGERS, JESS, OLDER BOB, MADELYN, VITTORIO, SCOTT, KOERNER, HOWARD, TOMMY, LUCY, ANNOUNCER (FROM THE RADIO), OLDER JESS, DAISY, MADELYN, BELLMAN, VIVIAN, WOMAN, OLDER MADELYN, LUCY, OLDER BOB, TIP, DRESSER"
Believer_ The.txt,"LINA, FATHER, CURTIS, LINDA, CARLA, WHIT, AVI, O.L., DRAKE, GUY, MIRIAM, KYLE, STEVE, BRAND, JUDGE, ZINGESSER, CARLETON, BILLINGS, OLD COOT, SUEDE-HEAD, ANCIENT JEW, MRS. MOEBIUS, RABBI"
Belle.txt,"LORD ASHFORD (CONT'D), ELIZABETH, BARONESS VERNON, LORD MANSFIELD., ELIZABETH, DIDO (CONT'D), LADY ASHFORD (CONT'D), ELIZABETH/DIDO, JOHN (OOV), GENTLEMAN 1, JOHN (CONT'D), MR VAUGHAN (OOV), MAID, BELLE, ELIZABETH (O.C), LADY MARY, LADY ASHFORD, JAMES, CLERK, LORD MANSFIELD (OOV), CAPTAIN SIR JOHN LINDSAY, (MORE), O...!, JOHN (CONT'D)JOHN, JAMES (CONT'D), LADY MANSFIELD, JAMES ASHFORD, OLIVER (CONT'D), DIDO (O.C.), LORD MANSFIELD (CONT'D), JAMES ASHFORD., LADY MANSFIELD (CONT'D), LADY ASHFORD., LORD MAYOR, YOUNG MAN 1, LORD ASHFORD, LADY MARY (CONT'D), BARONESS VERNON (CONT'D), CAPTAIN SIR JOHN LINDSAY (CONT'D), WIMBRIDGE, LORD MANSFIELD, MABEL (CONT'D), MR VAUGHAN, OLIVER, JOHN, ZOFFANY, SIR JOHN LINDSAY, HARRY, SIR JOHN LINDSAY (CONT'D), DIDO, ELIZABETH (OOV), MR VAUGHAN (CONT'D), ELIZABETH (CONT'D), MABEL, REVEREND DAVINIER"
Beloved.txt,"HOWARD, PAUL, NEIGHBORING FARMER, ELLA, BULGAR, BABY SUGGS, WHITE GUARD, LADY JONES, STAMP PAID, MRS. GARNER, CARNIVAL BARKER, NEPHEW, BOY, CO-WORKER 2, DENVER, JANEY, PAUL A, SAWYER, GRACE, NAN, M. LUCILLE, WOMAN, PAUL D, HALLE, SAWYER, AMY, WHITE GUARD, SIXO, WHITE BOY, SCHOOLTEACHER, BELOVED, SETHE, SHERIFF, ENGRAVER, GARNER, BLACK MAN FOUR, MR. GARNER, BLACK MAN ONE, WHITE MAN, BLACK MAN TWO, SCHOOLTEACHER, CO-WORKER 1, AMY, YOUNG MAN, MR. BODWIN, PAUL, BLACK MAN ONE, BLACK MAN THREE, BOY, SECOND BOY, M. LUCILLE WILLIAMS"
Best Exotic Marigold Hotel_ The.txt,"RUPIA, SIMON, EVELYN, JUDGE, WAITER, MRS JELLINEK, SUNANINA, NORMAN, SECURITY GUARD, SONNY, GILES, KATIE, GRAHAM, JEAN, PRAVESH, DOUGLAS, MADGE, AJIT, MR MARUTHI, DHARUNA, MR CHIDAMBRAM, JUDITH, LIAM, HAROLD, MR DHARUNA, ABI, TAXI DRIVER, GAURIKA, CHRISTOPHER, MURIEL, INDIAN VOICE, DR GHUJARAPARTIDAR, JESSICA, JAY, JAMSHED, SURESH, ANOKHI, DR RAMA, HERALD, ESTATE AGENT, AIRPORT ANNOUNCER, EVAN, AKRAM, BARMAN, CAROL, DOUGLAS, TELEMARKETERS, MRS KAPOOR, JUDGE, MR DRARUNA, MRS MEGSON, LIAM AND KATIE, IFTI, KAREN, JACKSON, SONNY, SANJAY, CRAIG"
Big Blue_ The.txt,"FATHER, MEDIC, LAWRENCE, DUFFY, PRIEST, DRIVER, TECHNICIAN, JOHANA, RECEPTIONIST, NOVELLI, TAHITIAN, SUPERINTENDENT, FRANK, MAMMA MOLINARI, OLD MAN, DOCTOR, TRAINER, BONITA, NINA, PARAMEDIC, SALLY, WAITER, LAWRENCE, CONTESSA, UNCLE LOUIS, ROBERTO, ENZO, JACQUES"
Big Eyes.txt,"GANNETT LAWYER, REDHEAD CLERK, PORTLY LADY, DEE-ANN, CANADAY, EUROPEAN BLONDE, ASIAN LADY #1, BLONDE CLERK, TIPSY MAN, -- ANDY WARHOL, TOURIST GUY, SNOBBY ARTIST #2, D.J., JEHOVAH'S WITNESSES, HIPPIE CHICK, CANADAY (ON TV), LILY, FEMALE ANNOUNCER (V.O.), MARGARET, MAITRE'D, MAGICIAN, RICH MAN, BANDUCCI, NOSY GUY, SOCIETY MAN, MR. KEANE!!, WALTER, BAILIFF, DICK'S HUSHED VOICE, WALTER ON THE PHONE - WOODSIDE, PRIEST'S VOICE, RUBEN, JANE, FANCY LADY, HIPSTER MAN, PRIEST'S VOICE (CONT'D), GROUPIE, MAN, MARGARET (O.S.), HIPSTER LADY, TIPSY LADY, MAN'S VOICE, FRIENDLY GUY, BOSS, WALTER (CONT'D), JUDGE, REPORTER #1, DICK, REPORTER #2, CIVIC LEADER (CONT'D), CIVIC LEADER, CLOSEUP - MARGARET, ASIAN LADY #2, BANDUCCI (CONT'D)"
Big Fish.txt,"PING (CONT'D), WOMAN'S VOICE (O.S.), WILL, EDWARD (CONT'D), THE CROWD (VARIOUS), EDWARD (O.S.), EDWARD, SHEPHARD, CASHIER, WILL (CONT'D), DR. BENNETT, ADULT EDWARD (V.O.), SHARECROPPER, EDWARD (O.S., PRELAP), A MAN'S VOICE, JENNY (V.O.), WILL (V.O.), A VOICE (O.S.), WILL (ON PHONE), YOUNG EDWARD, SANDRA, WILBUR FREELY, JOSEPHINE., LITTLE GIRL, NORTHER WINSLOW, YOUNG DR. BENNETT, EDWARD AND WILL, VARIOUS TOWNFOLK, STUDENT, JENNY (CONT'D), TELLER WOMAN, SOME FARMER, RUTHIE, MILDRED, MAN'S VOICE, KID, WILL'S DATE, KARL, JENNY, A MAN'S SILHOUETTE, SON, DON PRICE, A GIRL'S VOICE (O.S.), THE MAN, AMOS, SIAMESE TWINS., JOSEPHINE, JOSEPHINE (O.S.), JUMP LEADER, EDWARD (V.O.), YOUNG WILL, ZACKY, BEAMEN, MAYOR, WILL (O.S.), NURSE, BEAMEN'S HOUSE, GIRL"
Big Lebowski_ The.txt,"WALTER, DUDE, DONNY, TREEHORN, THE BIG LEBOWSKI, MAUDE, BRANDT, BUNNY LAJOYA, FRANZ, DIETER, PILAR, LEBOWSKI, KARL HUNGUS, MAUDE LEBOWSKI, THE STRANGER, BUNNY, CHIEF, KIEFFER, THE DUDE, WALTER., GARY, TONY"
Big Sick_ The.txt,"TERRY                            BETH, ANDY DODD (V.O.), JESSIE, KUMAIL, CHRIS, NAVEED, JESSIE (V.O.), HECKLER, EMILY'S VOICE (CONT'D), MARY, CHRIS (CONT'D), KHADIJA, DALAVAN, EMILY, TERRY (CONT'D), CHRIS (O.S.), DODD, STU, SHARMEN, SAM, BETH (O.S.), NURSE BETTE, KHADIJA (CONT'D), BETH, DR. PLATT, C., TERRY (O.S.), DR. WRIGHT, BETH (CONT'D), NAVEED (CONT'D), EMILY (CONT'D), AZMAT, NURSE JUDY, DR. SPELLMAN, SHARMEEN, SUMERA, EMILY'S VOICE, DR. CUNNINGHAM (CONT'D), DR. CUNNINGHAM, KUMAIL (O.S.) (CONT'D), KUMAIL (CONT'D), DODD (O.S.), BOB DALAVAN, DR. LEWIN, KUMAIL (V.O.), ALL, DENISE, AZMAT/NAVEED/FATIMA, ZUBEIDA, AUDIENCE, TERRY, DR. WHELAN, DR CUNNINGHAM, SHARMEEN (CONT'D), YAZMIN, SIRI, FATIMA, AZMAT (CONT'D), CJ"
